Date,weight_oz,calories,walk,run,weight,exercise,weight_g,weight_dif_in_oz,weight_dif_in_g,weight_loss_in_g_per_100_kcal_consumed,week_num
30/07/2018,2726,1950,Yes,No,No,Yes,77280.737,0,0,0,1
31/07/2018,2696,2600,No,No,No,No,76430.252,-30,-850.485,-43.61461538,1
01/08/2018,2704,2500,Yes,No,No,Yes,76657.048,8,226.796,8.722923077,1
02/08/2018,2704,1850,Yes,No,No,Yes,76657.048,0,0,0,1
03/08/2018,2664,2900,Yes,No,No,Yes,75523.068,-40,-1133.98,-61.29621622,1
04/08/2018,2678,3600,No,No,No,No,75919.961,14,396.893,13.68596552,1
05/08/2018,2692,2400,No,No,No,No,76316.854,14,396.893,11.02480556,1
06/08/2018,2690,3100,Yes,No,No,Yes,76260.155,-2,-56.699,-2.362458333,2
07/08/2018,2696,2200,Yes,No,No,Yes,76430.252,6,170.097,5.487,2
08/08/2018,2688,1800,Yes,No,No,Yes,76203.456,-8,-226.796,-10.30890909,2
09/08/2018,2648,2300,Yes,No,No,Yes,75069.476,-40,-1133.98,-62.99888889,2
10/08/2018,2630,3000,Yes,No,No,Yes,74559.185,-18,-510.291,-22.18656522,2
11/08/2018,2642,4000,No,No,No,No,74899.379,12,340.194,11.3398,2
12/08/2018,2676,2800,Yes,No,No,Yes,75863.262,34,963.883,24.097075,2
13/08/2018,2664,2300,Yes,No,No,Yes,75523.068,-12,-340.194,-12.14978571,3
14/08/2018,2662,2400,Yes,No,No,Yes,75466.369,-2,-56.699,-2.465173913,3
15/08/2018,2658,2100,Yes,No,No,Yes,75352.971,-4,-113.398,-4.724916667,3
16/08/2018,2648,2450,Yes,No,No,Yes,75069.476,-10,-283.495,-13.4997619,3
17/08/2018,2658,3400,Yes,No,No,Yes,75352.971,10,283.495,11.57122449,3
18/08/2018,2680,3600,No,Yes,No,Yes,75976.66,22,623.689,18.34379412,3
19/08/2018,2694,4200,No,No,No,No,76373.553,14,396.893,11.02480556,3
20/08/2018,2710,2000,Yes,No,No,Yes,76827.145,16,453.592,10.79980952,4
21/08/2018,2692,2150,Yes,No,No,Yes,76316.854,-18,-510.291,-25.51455,4
22/08/2018,2672,2300,Yes,Yes,No,Yes,75749.864,-20,-566.99,-26.37162791,4
23/08/2018,2646,2800,No,No,No,No,75012.777,-26,-737.087,-32.04726087,4
24/08/2018,2648,2000,No,No,No,No,75069.476,2,56.699,2.024964286,4
25/08/2018,2642,4150,No,No,No,No,74899.379,-6,-170.097,-8.50485,4
26/08/2018,2660,5400,Yes,No,No,Yes,75409.67,18,510.291,12.29616867,4
27/08/2018,2706,1700,Yes,No,No,Yes,76713.747,46,1304.077,24.14957407,5
28/08/2018,2674,2100,Yes,No,No,Yes,75806.563,-32,-907.184,-53.36376471,5
29/08/2018,2656,2150,Yes,Yes,No,Yes,75296.272,-18,-510.291,-24.29957143,5
30/08/2018,2640,3250,Yes,No,No,Yes,74842.68,-16,-453.592,-21.09730233,5
31/08/2018,2662,4200,No,No,No,No,75466.369,22,623.689,19.19043077,5
01/09/2018,2690,4800,No,No,No,No,76260.155,28,793.786,18.89966667,5
02/09/2018,2710,4600,No,No,No,No,76827.145,20,566.99,11.81229167,5
03/09/2018,2724,1800,Yes,No,No,Yes,77224.038,14,396.893,8.628108696,6
04/09/2018,2674,2400,Yes,No,Yes,Yes,75806.563,-50,-1417.475,-78.74861111,6
05/09/2018,2672,2500,Yes,Yes,Yes,Yes,75749.864,-2,-56.699,-2.362458333,6
06/09/2018,2656,3800,Yes,No,Yes,Yes,75296.272,-16,-453.592,-18.14368,6
07/09/2018,2688,2000,Yes,No,Yes,Yes,76203.456,32,907.184,23.87326316,6
08/09/2018,2674,3100,No,No,Yes,No,75806.563,-14,-396.893,-19.84465,6
09/09/2018,2692,5200,Yes,Yes,Yes,Yes,76316.854,18,510.291,16.461,6
10/09/2018,2680,2200,Yes,No,Yes,Yes,75976.66,-12,-340.194,-6.542192308,7
11/09/2018,2676,2100,Yes,No,Yes,Yes,75863.262,-4,-113.398,-5.154454545,7
12/09/2018,2662,2350,Yes,No,Yes,Yes,75466.369,-14,-396.893,-18.89966667,7
13/09/2018,2660,6300,Yes,No,Yes,Yes,75409.67,-2,-56.699,-2.412723404,7
14/09/2018,2678,1700,Yes,No,Yes,Yes,75919.961,18,510.291,8.099857143,7
15/09/2018,2674,5650,Yes,Yes,Yes,Yes,75806.563,-4,-113.398,-6.670470588,7
16/09/2018,2690,5900,No,No,Yes,No,76260.155,16,453.592,8.028176991,7
17/09/2018,2724,2250,Yes,No,Yes,Yes,77224.038,34,963.883,16.337,8
18/09/2018,2694,2350,Yes,Yes,Yes,Yes,76373.553,-30,-850.485,-37.79933333,8
19/09/2018,2674,2600,Yes,No,Yes,Yes,75806.563,-20,-566.99,-24.12723404,8
